First.Author,Year,Initial.Definition,Model.use,lab.OR.field,treatment,Kingdom,species.i,species.j,comp_outcome,Definition,ND,FD,Condition,Interaction
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.1400516319165428,0.018105784518436807,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.3321245025429158,0.23741574267242593,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.18561866637355195,0.07013449834657226,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.36787669003853773,0.27823780524695085,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Scenedesmus acuminatus,2,Spaak,0.2255035638099676,0.11567531397155328,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.035789753967660265,0.005344241359124702,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.18806910917577202,0.16243190787494755,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.07208935254904192,0.042790021378467435,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.16241465078587747,0.13596739468674657,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.12796090826236284,0.10042575472931925,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.16409398498645966,0.13769975486458652,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.1630759883696975,0.13664961439853562,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.0909636805556614,0.06226031752965688,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.14958702623530862,0.1227347302534354,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Chlorella sorokiniana,Tetraedron minimum.,2,Spaak,0.10457418024575249,0.076300576851144,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.545781719493292,0.425212607273009,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.5043627010954796,0.468832847277186,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.7729913907835435,0.18592783481025976,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.81657174759152,0.14003139165524747,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.4087947469710187,0.5694797784907307,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.4217515462013015,0.5558343877023116,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.542525396851977,0.4286419878001123,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.7648365422757344,0.19451607429222517,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.6805727217579791,0.28325811156965897,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Elakatothrix viridis,2,Spaak,1.4504388034132216,0.525622540752515,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.23818639772115313,0.2057321312788798,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.2512406776243954,0.21934254076148962,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.2378966032697547,0.20542999120079386,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.2915859433704533,0.26140656815775964,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.23246735404374486,0.19976944878123193,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.20675681560898507,0.17296360742428762,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.22571699299035852,0.19273151342416717,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.24055991682734812,0.2082067654363784,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.25280325794901803,0.2209716890734008,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Staurastrum punctulatum,2,Spaak,0.0518234860840221,0.011429913266623792,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.4884872623106546,0.590845280227148,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.427898006193992,0.6415945668930777,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.7511010605807877,0.3708811515179582,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,2.183442795227028,0.008753671573978439,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,2.0679600947641052,0.10548145874905213,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.5953744731267805,0.5013170362727306,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.6369722302752499,0.46647494317750227,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.2873960573273204,0.7592783632814544,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.3755179779397149,0.6854678414605596,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Coelastrum microporum,Tetraedron minimum.,1,Spaak,1.2619250991129087,0.7806127225875031,Coexistence,Facilitation
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.02711985006537243,0.022237890697962115,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.09608046510053092,0.09154455341491974,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.09320991270687351,0.08865959645133792,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.07699127330321753,0.0723595711353795,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.10197101212706039,0.09746465948963956,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.14034177761515998,0.13602797132378386,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.11022185160015308,0.1057569020718998,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.029157487941228855,0.024285753538647037,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.038236296815579385,0.033410120312428515,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Scenedesmus acuminatus,2,Spaak,0.018385694577838785,0.013459906798263144,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.23765673440690094,0.12235399267185287,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.25584676069652335,0.1432952204189898,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.21132137874787305,0.09203547240824084,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.1817514598364518,0.05799316831648049,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.20347301675224072,0.08300006292748185,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.28951146150649953,0.18205163316277628,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.16938916751323418,0.043761106476917555,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.25933427000641185,0.1473102078393379,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.18698879515341094,0.06402263907778094,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Selenastrum capricornutum,2,Spaak,0.19698802798262371,0.07553423387369695,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.11527818913371002,0.058588581342278956,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.08540615858670908,0.026802464723425734,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.10395665624606665,0.046541607699004395,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.0850048532769252,0.02637544529612279,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.15004681482142324,0.09558504828978165,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.09487024923985099,0.03687297830029301,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.11537364912959547,0.05869015805153133,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.07228298518113818,0.012838408292022874,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.16242606152603078,0.10875751002742917,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Cosmarium turpinii,Staurastrum punctulatum,2,Spaak,0.13788355470520797,0.08264241273940787,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.16756688837593958,0.0034894729505768884,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.20212634962337095,0.04486080532709946,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.1905379568226817,0.030988272800202887,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.17176909100936377,0.008519954201895996,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.1836136276344068,0.022699117993026263,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.2071790259564117,0.0509093935984446,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.182825707739804,0.02175589449737325,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.18922769044894416,0.029419745291582977,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.20954927924779965,0.05374683762086396,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Elakatothrix viridis,Scenedesmus acuminatus,2,Spaak,0.21868256454285784,0.0646803466511745,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.19505923336033892,0.007920402730170362,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.19051895174555,0.0023245614675948545,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.1917551086030329,0.003848109594562832,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.19309233009912863,0.005496218645922424,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.18937581199091835,9.156557761456074e-4,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.19257602787669736,0.004859882505267699,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.19393039519624855,0.006529123573209894,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.18988857243612944,0.001547626719926476,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.18879112921609353,1.9504144547843882e-4,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Scenedesmus acuminatus,Tetraedron minimum.,2,Spaak,0.1890705732670679,5.394528022387712e-4,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.2652893911267802,0.2372289194917394,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.1441565623414911,0.11146971909135306,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.15194005319307302,0.11955048130614199,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.2092048814707037,0.17900239939867857,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.24214303141183346,0.21319854127700288,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.1669426197890398,0.1351260341763434,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.19066390179996806,0.15975329243557346,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.24823417311459073,0.21952231921355203,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.1523604497561304,0.11998693388593673,Coexistence,Negative frequency dependance
Narwani,2013,Carroll,None,lab,Control,Phytoplankton,Staurastrum punctulatum,Tetraedron minimum.,2,Spaak,0.2617019746557092,0.23350449043787214,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.9645969364105824,0.20603573484612547,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,2.0623609613176592,0.1255657071445314,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.547253673040207,0.549552933492647,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,2.183518536751808,0.025840338219604964,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,2.1857940262553184,0.023967372130532905,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.645625719503956,0.46858244039434804,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,2.124065491819144,0.07477641851317818,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.7494986196169535,0.38308416884218366,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.58011691963268,0.5225030409971796,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Pandorina,1,Spaak,1.8616035496530605,0.2908100748278958,Coexistence,Facilitation
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.30245027745528674,0.1036911976543845,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.2355248902567495,0.017696161447352754,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.32100424661198246,0.1275319151489419,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.23794663359135626,0.020807953765054843,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.31937677293820343,0.12544071084873465,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.3215052374354873,0.12817565776755213,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.28957789549193513,0.08715097279583695,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.3340457974107117,0.1442895116318066,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.2686331958916437,0.06023831265493562,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Scenedesmus,2,Spaak,0.27631295867549566,0.07010633891976081,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Selenastrum,2,Spaak,0.03631478400614441,0.020649822303492327,Coexistence,Negative frequency dependance
Venail,2014,Carroll,None,lab,Control,Phytoplankton,Chlorella,Selenastrum,2,Spaak,0.12253629549735456,0.1082728875936384,Coexistence,Negative frequency dependance
